Date,Close (GP),Average (GP),Volume (Sold)
2020-04-08,2997,2876,9836591
2020-04-09,3006,2881,6340809
2020-04-10,2993,2885,4096499
2020-04-11,2990,2889,12191003
2020-04-12,2982,2894,7119479
2020-04-13,3003,2901,5576948
2020-04-14,3005,2909,6005617
2020-04-15,3013,2918,2177870
2020-04-16,3022,2927,4091619
2020-04-17,3025,2935,7554103
2020-04-18,3030,2943,10573851
2020-04-19,3011,2949,2232424
2020-04-20,2948,2954,7121618
2020-04-21,2952,2958,6494094
2020-04-22,2975,2963,2266863
2020-04-23,2974,2968,6141074
2020-04-24,2968,2973,6548180
2020-04-25,2945,2976,7952120
2020-04-26,2901,2976,10415362
2020-04-27,2895,2975,9828755
2020-04-28,2912,2975,8693995
2020-04-29,2912,2975,505699
2020-04-30,2947,2976,9728171
2020-05-01,3017,2979,5379846
2020-05-02,3026,2981,7926854
2020-05-03,3085,2984,1067212
2020-05-04,3083,2986,5535828
2020-05-05,3095,2990,7894964
2020-05-06,3099,2993,11810775
2020-05-07,3079,2996,7585579
2020-05-08,3069,2998,5796586
2020-05-09,3032,2999,11908897
2020-05-10,2979,2999,2757614
2020-05-11,2955,2997,5494684
2020-05-12,2952,2996,6121261
2020-05-13,2949,2995,1060137
2020-05-14,2968,2993,5511874
2020-05-15,2989,2993,7175151
2020-05-16,2997,2992,9876716
2020-05-17,2982,2990,7910462
2020-05-18,2981,2989,5242961
2020-05-19,2952,2987,8589470
2020-05-20,2940,2987,6950342
2020-05-21,2910,2985,6021979
2020-05-22,2887,2982,8352118
2020-05-23,2849,2978,14581123
2020-05-24,2801,2972,6996592
2020-05-25,2789,2967,3474445
2020-05-26,2807,2964,6066064
2020-05-27,2812,2961,5062407
2020-05-28,2819,2958,6044376
2020-05-29,2828,2955,9576811
2020-05-30,2828,2951,7383197
2020-05-31,2804,2944,8844420
2020-06-01,2790,2937,6967604
2020-06-02,2780,2926,10375911
2020-06-03,2789,2917,3367243
2020-06-04,2789,2906,5127697
2020-06-05,2789,2896,12401149
2020-06-06,2771,2886,10645135
2020-06-07,2748,2875,7370612
2020-06-08,2713,2864,6616985
2020-06-09,2701,2855,7350510
2020-06-10,2705,2847,11028240
2020-06-11,2703,2839,2214614
2020-06-12,2690,2830,5929994
2020-06-13,2654,2819,8357555
2020-06-14,2594,2806,2565452
2020-06-15,2517,2790,7702803
2020-06-16,2533,2775,6479686
2020-06-17,2595,2762,2540597
2020-06-18,2684,2753,4680886
2020-06-19,2688,2745,11939319
2020-06-20,2663,2737,5916471
2020-06-21,2617,2728,381131
2020-06-22,2573,2719,10098411
