Date,Close (GP),Average (GP),Volume (Sold)
2020-04-08,1023,1022,10669410
2020-04-09,1025,1023,6728983
2020-04-10,1024,1024,4448708
2020-04-11,1017,1025,12520077
2020-04-12,1011,1025,7499987
2020-04-13,1008,1025,6699649
2020-04-14,1015,1026,6893341
2020-04-15,1025,1027,2194110
2020-04-16,1031,1027,4237608
2020-04-17,1033,1028,7817763
2020-04-18,1030,1028,10778936
2020-04-19,1024,1028,2351213
2020-04-20,1028,1028,7530633
2020-04-21,1049,1029,6917413
2020-04-22,1062,1031,2897478
2020-04-23,1083,1033,6748871
2020-04-24,1081,1035,6730470
2020-04-25,1069,1037,8141000
2020-04-26,1050,1037,11137330
2020-04-27,1041,1037,10956987
2020-04-28,1054,1037,10405383
2020-04-29,1062,1038,621779
2020-04-30,1062,1038,9750731
2020-05-01,1062,1038,5822510
2020-05-02,1054,1038,8299527
2020-05-03,1044,1038,1182374
2020-05-04,1040,1038,5755367
2020-05-05,1046,1039,8379299
2020-05-06,1044,1040,13193888
2020-05-07,1042,1041,8238909
2020-05-08,1039,1041,5284249
2020-05-09,1043,1042,11400493
2020-05-10,1035,1042,2873728
2020-05-11,1040,1043,5674057
2020-05-12,1051,1044,6254926
2020-05-13,1062,1046,917432
2020-05-14,1069,1048,5527798
2020-05-15,1072,1050,7757298
2020-05-16,1071,1051,10436232
2020-05-17,1057,1052,8167684
2020-05-18,1054,1053,5706184
2020-05-19,1061,1054,9218063
2020-05-20,1072,1055,7712616
2020-05-21,1074,1056,6022188
2020-05-22,1075,1056,7849554
2020-05-23,1067,1056,13676237
2020-05-24,1064,1055,5714298
2020-05-25,1067,1055,3681053
2020-05-26,1075,1056,6414121
2020-05-27,1079,1057,5318259
2020-05-28,1078,1058,5972768
2020-05-29,1077,1059,9963099
2020-05-30,1069,1059,6537893
2020-05-31,1067,1059,7942900
2020-06-01,1068,1060,6178479
2020-06-02,1077,1061,11127078
2020-06-03,1093,1062,3491935
2020-06-04,1094,1064,5231396
2020-06-05,1086,1065,11584493
2020-06-06,1081,1067,8955211
2020-06-07,1087,1068,6175788
2020-06-08,1090,1070,6107078
2020-06-09,1096,1072,7484108
2020-06-10,1100,1074,10833037
2020-06-11,1110,1076,2438754
2020-06-12,1110,1078,5340096
2020-06-13,1093,1078,7677936
2020-06-14,1086,1079,2477415
2020-06-15,1093,1080,7114860
2020-06-16,1106,1081,5763091
2020-06-17,1110,1083,2741279
2020-06-18,1111,1085,4161236
2020-06-19,1112,1086,10354264
