Date,Close (GP),Average (GP),Volume (Sold)
2020-04-08,1734,1762,9968057
2020-04-09,1741,1761,5868933
2020-04-10,1737,1759,3882743
2020-04-11,1726,1758,11836445
2020-04-12,1686,1756,7549086
2020-04-13,1625,1752,6551988
2020-04-14,1594,1748,6183969
2020-04-15,1522,1742,2080822
2020-04-16,1518,1736,3806440
2020-04-17,1590,1731,8040294
2020-04-18,1639,1728,10254761
2020-04-19,1661,1726,1755778
2020-04-20,1670,1723,6867110
2020-04-21,1677,1721,6194886
2020-04-22,1651,1718,2686441
2020-04-23,1622,1713,6177420
2020-04-24,1619,1708,6074978
2020-04-25,1628,1703,6813743
2020-04-26,1616,1698,9823310
2020-04-27,1598,1692,9319675
2020-04-28,1593,1686,8873584
2020-04-29,1624,1681,578483
2020-04-30,1642,1675,9039684
2020-05-01,1671,1670,4463553
2020-05-02,1673,1664,6226461
2020-05-03,1668,1659,1024639
2020-05-04,1663,1654,5084791
2020-05-05,1652,1649,7807614
2020-05-06,1641,1646,9564009
2020-05-07,1636,1643,6349552
2020-05-08,1627,1640,4500338
2020-05-09,1621,1636,10092887
2020-05-10,1587,1631,2601843
2020-05-11,1521,1624,5859225
2020-05-12,1481,1617,5927070
2020-05-13,1430,1611,1087284
2020-05-14,1415,1605,5213983
2020-05-15,1451,1602,6493879
2020-05-16,1506,1602,8557870
2020-05-17,1507,1599,6718274
2020-05-18,1497,1594,4525733
2020-05-19,1462,1588,7542880
2020-05-20,1454,1581,6672781
2020-05-21,1443,1573,4777115
2020-05-22,1440,1566,7589674
2020-05-23,1458,1560,13453337
2020-05-24,1422,1554,6254660
2020-05-25,1383,1546,3375803
2020-05-26,1364,1537,7075371
2020-05-27,1348,1529,5694775
2020-05-28,1353,1521,5986955
2020-05-29,1348,1512,9110258
2020-05-30,1386,1503,5990274
2020-05-31,1413,1495,7992397
2020-06-01,1386,1485,6135033
2020-06-02,1359,1475,10208838
2020-06-03,1363,1465,3144817
2020-06-04,1374,1455,4258134
2020-06-05,1361,1446,11314878
2020-06-06,1359,1437,9189795
2020-06-07,1349,1428,6443891
2020-06-08,1338,1418,5327400
2020-06-09,1339,1410,7698499
2020-06-10,1327,1403,10440555
2020-06-11,1323,1398,2018093
2020-06-12,1310,1394,4632129
2020-06-13,1309,1391,5818599
2020-06-14,1313,1386,2207301
2020-06-15,1304,1379,5820240
2020-06-16,1321,1373,5974857
2020-06-17,1317,1367,2642993
2020-06-18,1341,1363,4121911
2020-06-19,1350,1360,9924610
2020-06-20,1350,1356,4780411
2020-06-21,1335,1353,330611
2020-06-22,1322,1348,8346537
2020-06-23,1307,1345,5817630
2020-06-24,1309,1342,0
2020-06-25,1315,1340,7421259
2020-06-26,1297,1339,7527475
2020-06-27,1274,1336,6500151
2020-06-28,1247,1333,6953758
2020-06-29,1223,1327,6004498
2020-06-30,1186,1320,10003198
2020-07-01,1197,1313,4481797
2020-07-02,1206,1308,6223593
2020-07-03,1209,1303,8582059
2020-07-04,1218,1298,8156130
2020-07-05,1199,1293,4022576
2020-07-06,1205,1288,8453161
2020-07-07,1220,1283,5087529
2020-07-08,1242,1280,313569
2020-07-09,1251,1277,6068969
2020-07-10,1250,1275,8961700
2020-07-11,1227,1271,8081981
2020-07-12,1201,1268,3537224
2020-07-13,1193,1264,6937896
2020-07-14,1170,1259,6038131
2020-07-15,1216,1256,1910717
2020-07-16,1234,1253,6301402
2020-07-17,1230,1250,6003096
2020-07-18,1226,1246,5196191
2020-07-19,1201,1242,1026133
2020-07-20,1176,1236,6372704
2020-07-21,1182,1231,5016063
2020-07-22,1182,1226,192164
2020-07-23,1184,1222,5676828
2020-07-24,1194,1218,5407322
2020-07-25,1204,1214,8076352
2020-07-26,1198,1211,2312734
2020-07-27,1189,1208,4838966
2020-07-28,1193,1206,6953114
2020-07-29,1217,1206,5714545
2020-07-30,1242,1208,7120481
2020-07-31,1233,1209,2795551
2020-08-01,1231,1210,7376745
2020-08-02,1219,1210,2080556
2020-08-03,1250,1211,6273041
2020-08-04,1261,1214,4324387
2020-08-05,1282,1216,1435690
2020-08-06,1288,1218,3147454
2020-08-07,1297,1220,5685462
2020-08-08,1309,1222,6425638
2020-08-09,1355,1226,3146936
2020-08-10,1351,1230,7694175
2020-08-11,1334,1234,2599968
2020-08-12,1321,1238,6412325
2020-08-13,1284,1242,4027179
2020-08-14,1254,1244,7138938
2020-08-15,1258,1244,2417470
2020-08-16,1259,1245,5899007
2020-08-17,1255,1246,675035
2020-08-18,1269,1249,4172596
2020-08-19,1300,1253,4483141
2020-08-20,1316,1257,5696226
2020-08-21,1330,1262,5742112
2020-08-22,1321,1267,5082946
2020-08-23,1287,1270,5619655
2020-08-24,1224,1270,5262017
2020-08-25,1222,1271,5555328
2020-08-26,1231,1273,5277355
2020-08-27,1234,1274,6079428
2020-08-28,1253,1275,3605592
2020-08-29,1250,1275,7965430
2020-08-30,1225,1275,3499903
2020-08-31,1216,1275,5375851
2020-09-01,1196,1274,3981528
2020-09-02,1177,1271,3795289
2020-09-03,1199,1269,6449531
2020-09-04,1191,1266,5172321
2020-09-05,1202,1264,4276940
2020-09-06,1197,1260,4310973
2020-09-07,1218,1257,5848962
2020-09-08,1227,1253,4196214
2020-09-09,1247,1249,3286110
2020-09-10,1254,1247,5080008
2020-09-11,1253,1244,5303851
2020-09-12,1268,1244,5147172
2020-09-13,1268,1244,4220743
2020-09-14,1279,1245,4049994
2020-09-15,1269,1245,895785
2020-09-16,1278,1246,2435719
2020-09-17,1276,1246,5980550
2020-09-18,1273,1246,3477023
2020-09-19,1272,1244,5994876
2020-09-20,1271,1242,911034
2020-09-21,1247,1240,1212166
2020-09-22,1220,1237,3545218
2020-09-23,1199,1237,7016298
2020-09-24,1172,1235,7244030
2020-09-25,1136,1232,3772749
2020-09-26,1127,1228,9041886
2020-09-27,1100,1223,803841
2020-09-28,1084,1218,4438928
2020-09-29,1081,1213,6134500
2020-09-30,1079,1208,5065126
2020-10-01,1089,1205,6342555
2020-10-02,1080,1201,6762427
2020-10-03,1061,1197,9320145
2020-10-04,1063,1193,630135
2020-10-05,1054,1188,5120333
2020-10-06,1049,1183,92983
2020-10-07,1061,1177,8623911
2020-10-08,1086,1173,6828314
2020-10-09,1090,1167,5442340
2020-10-10,1093,1162,11460304
2020-10-11,1089,1157,5418613
2020-10-12,1080,1150,10937664
2020-10-13,1062,1144,3470389
2020-10-14,1047,1136,6498380
2020-10-15,1031,1128,9042354
2020-10-16,1063,1121,15840347
2020-10-17,1111,1115,11406891
2020-10-18,1153,1111,6276281
2020-10-19,1187,1108,9337519
2020-10-20,1182,1105,8191571
2020-10-21,1168,1103,9429012
2020-10-22,1155,1101,6979693
2020-10-23,1145,1099,5877863
2020-10-24,1137,1098,6976954
