Index,Item Timestamps,Timestamps_close,Close,Timestamps_average,Average,Timestamps,Volume
1,2020/04/08,2020/04/08,1734,2020/04/08,1762,2020/04/08,9968057.0
2,2020/04/09,2020/04/09,1741,2020/04/09,1761,2020/04/09,5868933.0
3,2020/04/10,2020/04/10,1737,2020/04/10,1759,2020/04/10,3882743.0
4,2020/04/11,2020/04/11,1726,2020/04/11,1758,2020/04/11,11836445.0
5,2020/04/12,2020/04/12,1686,2020/04/12,1756,2020/04/12,7549086.0
6,2020/04/13,2020/04/13,1625,2020/04/13,1752,2020/04/13,6551988.0
7,2020/04/14,2020/04/14,1594,2020/04/14,1748,2020/04/14,6183969.0
8,2020/04/15,2020/04/15,1522,2020/04/15,1742,2020/04/15,2080822.0
9,2020/04/16,2020/04/16,1518,2020/04/16,1736,2020/04/16,3806440.0
10,2020/04/17,2020/04/17,1590,2020/04/17,1731,2020/04/17,8040294.0
11,2020/04/18,2020/04/18,1639,2020/04/18,1728,2020/04/18,10254761.0
12,2020/04/19,2020/04/19,1661,2020/04/19,1726,2020/04/19,1755778.0
13,2020/04/20,2020/04/20,1670,2020/04/20,1723,2020/04/20,6867110.0
14,2020/04/21,2020/04/21,1677,2020/04/21,1721,2020/04/21,6194886.0
15,2020/04/22,2020/04/22,1651,2020/04/22,1718,2020/04/22,2686441.0
16,2020/04/23,2020/04/23,1622,2020/04/23,1713,2020/04/23,6177420.0
17,2020/04/24,2020/04/24,1619,2020/04/24,1708,2020/04/24,6074978.0
18,2020/04/25,2020/04/25,1628,2020/04/25,1703,2020/04/25,6813743.0
19,2020/04/26,2020/04/26,1616,2020/04/26,1698,2020/04/26,9823310.0
20,2020/04/27,2020/04/27,1598,2020/04/27,1692,2020/04/27,9319675.0
21,2020/04/28,2020/04/28,1593,2020/04/28,1686,2020/04/28,8873584.0
22,2020/04/29,2020/04/29,1624,2020/04/29,1681,2020/04/29,578483.0
23,2020/04/30,2020/04/30,1642,2020/04/30,1675,2020/04/30,9039684.0
24,2020/05/01,2020/05/01,1671,2020/05/01,1670,2020/05/01,4463553.0
25,2020/05/02,2020/05/02,1673,2020/05/02,1664,2020/05/02,6226461.0
26,2020/05/03,2020/05/03,1668,2020/05/03,1659,2020/05/03,1024639.0
27,2020/05/04,2020/05/04,1663,2020/05/04,1654,2020/05/04,5084791.0
28,2020/05/05,2020/05/05,1652,2020/05/05,1649,2020/05/05,7807614.0
29,2020/05/06,2020/05/06,1641,2020/05/06,1646,2020/05/06,9564009.0
30,2020/05/07,2020/05/07,1636,2020/05/07,1643,2020/05/07,6349552.0
31,2020/05/08,2020/05/08,1627,2020/05/08,1640,2020/05/08,4500338.0
32,2020/05/09,2020/05/09,1621,2020/05/09,1636,2020/05/09,10092887.0
33,2020/05/10,2020/05/10,1587,2020/05/10,1631,2020/05/10,2601843.0
34,2020/05/11,2020/05/11,1521,2020/05/11,1624,2020/05/11,5859225.0
35,2020/05/12,2020/05/12,1481,2020/05/12,1617,2020/05/12,5927070.0
36,2020/05/13,2020/05/13,1430,2020/05/13,1611,2020/05/13,1087284.0
37,2020/05/14,2020/05/14,1415,2020/05/14,1605,2020/05/14,5213983.0
38,2020/05/15,2020/05/15,1451,2020/05/15,1602,2020/05/15,6493879.0
39,2020/05/16,2020/05/16,1506,2020/05/16,1602,2020/05/16,8557870.0
40,2020/05/17,2020/05/17,1507,2020/05/17,1599,2020/05/17,6718274.0
41,2020/05/18,2020/05/18,1497,2020/05/18,1594,2020/05/18,4525733.0
42,2020/05/19,2020/05/19,1462,2020/05/19,1588,2020/05/19,7542880.0
43,2020/05/20,2020/05/20,1454,2020/05/20,1581,2020/05/20,6672781.0
44,2020/05/21,2020/05/21,1443,2020/05/21,1573,2020/05/21,4777115.0
45,2020/05/22,2020/05/22,1440,2020/05/22,1566,2020/05/22,7589674.0
46,2020/05/23,2020/05/23,1458,2020/05/23,1560,2020/05/23,13453337.0
